k,beta,x_sum,alpha
2,2,0.04962452928581675,20.050314862956263
2,4,0.035089841171191447,28.355427209043594
2,6,0.02865073534157477,34.72816405039366
2,8,0.024812264642908376,40.100629725912526
2,10,0.022192764166903068,44.83386700384459
4,2,0.035089841171191447,14.177713604521797
4,4,0.024812264642908376,20.050314862956263
4,6,0.020259129246008596,24.556520298192236
4,8,0.017544920585595723,28.355427209043594
4,10,0.015692654035690982,31.702331385234306
6,2,0.02865073534157477,11.576054683464553
6,4,0.020259129246008596,16.371013532128156
6,6,0.016541509761938918,20.050314862956263
6,8,0.014325367670787384,23.152109366929107
6,10,0.012812998365823367,25.884845183481556
8,2,0.024812264642908376,10.025157431478132
8,4,0.017544920585595723,14.177713604521797
8,6,0.014325367670787384,17.36408202519683
8,8,0.012406132321454188,20.050314862956263
8,10,0.011096382083451534,22.416933501922294
10,2,0.022192764166903068,8.966773400768917
10,4,0.015692654035690982,12.680932554093722
10,6,0.012812998365823367,15.53090711008893
10,8,0.011096382083451534,17.933546801537833
10,10,0.00992490585716335,20.050314862956263
